  ,Title ,Authors,Year,Journal,Publisher (IEEE/ACM/Elsevier/Springer),DOI,URL,Type (journal/conference/survey/experiment),,,,,BibTeX
,MAB-Malware: A Reinforcement Learning Framework for Blackbox Generation of Adversarial Malware,"Wei Song, Xuezixiang Li, Sadia Afroz, Deepali Garg, Dmitry Kuznetsov, Heng Yin",2022,https://dl.acm.org/doi/10.1145/3488932.3497768,ACM ,,,,,,,,"@inproceedings{10.1145/3488932.3497768,
author = {Song, Wei and Li, Xuezixiang and Afroz, Sadia and Garg, Deepali and Kuznetsov, Dmitry and Yin, Heng},
title = {MAB-Malware: A Reinforcement Learning Framework for Blackbox Generation of Adversarial Malware},
year = {2022},
isbn = {9781450391405},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3488932.3497768},
doi = {10.1145/3488932.3497768},
abstract = {Modern commercial antivirus systems increasingly rely on machine learning (ML) to keep up with the rampant inflation of new malware. However, it is well-known that machine learning models are vulnerable to adversarial examples (AEs). Previous works have shown that ML malware classifiers are fragile to the white-box adversarial attacks. However, ML models used in commercial antivirus (AV) products are usually not available to attackers and only return hard classification labels. Therefore, it is more practical to evaluate the robustness of ML models and real-world AVs in a pure black-box manner. We propose a black-box Reinforcement Learning (RL) based framework to generate AEs for PE malware classifiers and AV engines. It regards the adversarial attack problem as a multi-armed bandit problem, which finds an optimal balance between exploiting the successful patterns and exploring more varieties. Compared to other frameworks, our improvements lie in three points: 1) limiting the exploration space by modeling the generation process as a stateless process to avoid combination explosions, 2) reusing the successful payload in modeling; and 3) minimizing the changes on AE samples to correctly assign the rewards in RL learning (which also helps identify the root cause of evasions). As a result, our framework has much higher evasion rates than other off-the-shelf frameworks. Results show it has over 74\%--97\% evasion rate for two state-of-the-art ML detectors and over 32\%--48\% evasion rate for commercial AVs in a pure black-box setting. We also demonstrate that the transferability of adversarial attacks among ML-based classifiers is higher than that between ML-based classifiers and commercial AVs.},
booktitle = {Proceedings of the 2022 ACM on Asia Conference on Computer and Communications Security},
pages = {990–1003},
numpages = {14},
keywords = {adversarial learning, malware classification, reinforcement learning},
location = {Nagasaki, Japan},
series = {ASIA CCS '22}
}"
,Robustness and Cybersecurity in the EU Artificial Intelligence Act,"Henrik Nolte, Miriam Rateike, Michèle Finck",2025,https://dl.acm.org/doi/10.1145/3715275.3732020,ACM ,,,,,,,,"@inproceedings{10.1145/3715275.3732020,
author = {Nolte, Henrik and Rateike, Miriam and Finck, Mich\`{e}le},
title = {Robustness and Cybersecurity in the EU Artificial Intelligence Act},
year = {2025},
isbn = {9798400714825},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3715275.3732020},
doi = {10.1145/3715275.3732020},
abstract = {The EU Artificial Intelligence Act (AIA) establishes different legal principles for different types of AI systems. While prior work has sought to clarify some of these principles, little attention has been paid to robustness and cybersecurity. This paper aims to fill this gap. We identify legal challenges and shortcomings in provisions related to robustness and cybersecurity for high-risk AI systems (Art.&nbsp;15&nbsp;AIA) and general-purpose AI models (Art.&nbsp;55&nbsp;AIA). We show that robustness and cybersecurity demand resilience against performance disruptions. Furthermore, we assess potential challenges in implementing these provisions in light of recent advancements in the machine learning (ML) literature. Our analysis informs efforts to develop harmonized standards, guidelines by the European Commission, as well as benchmarks and measurement methodologies under Art.&nbsp;15(2)&nbsp;AIA. With this, we seek to bridge the gap between legal terminology and ML research, fostering a better alignment between research and implementation efforts.},
booktitle = {Proceedings of the 2025 ACM Conference on Fairness, Accountability, and Transparency},
pages = {283–295},
numpages = {13},
keywords = {Robustness, Cybersecurity, AIA, Regulation, European Union, EU law},
location = {
},
series = {FAccT '25}
}"
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,	Investigating the impact of feature selection on adversarial transferability in intrusion detection system		2025	https://dl.acm.org/doi/10.1145/3715275.3732020	Elsevier,,2025,https://www.sciencedirect.com/science/article/abs/pii/S0167404825000161,Elsevier,,,,,,,,"@article{ADEKE2025104327,
title = {Investigating the impact of feature selection on adversarial transferability in intrusion detection system},
journal = {Computers & Security},
volume = {151},
pages = {104327},
year = {2025},
issn = {0167-4048},
doi = {https://doi.org/10.1016/j.cose.2025.104327},
url = {https://www.sciencedirect.com/science/article/pii/S0167404825000161},
author = {James Msughter Adeke and Guangjie Liu and Lord Amoah and Ogonna Joshua Nwali},
keywords = {Adversarial attack, Transferability, Feature selection, Intrusion detection system, Black-box attack, Machine learning},
abstract = {Adversarial attacks pose a serious threat to cybersecurity systems, particularly intrusion detection systems (IDSs). The property of transferability exacerbates this threat, as attacks designed to fool one IDS model can often fool others in black-box settings. Despite significant efforts to mitigate this property, the impact of feature selection on attack transferability remains unknown. This study investigates adversarial transferability across various machine learning (ML) and deep learning (DL) models used in IDSs. Two transferability scenarios are investigated: inter-model and intra-model transferability. We trained multiple IDS models, including support vector machine (SVM), random forest (RF), decision tree (DT), logistic regression (LR), and deep neural networks (DNNs) with different architectures, on feature subsets from various techniques. These IDS models are then subjected to a black-box attack using the zeroth-order optimization (ZOO) method. With the IoT-23 and UNSW-NB15 datasets, we evaluated transferability across different IDS models and feature subsets. The results show significant variations in transferability, with certain feature subsets notably reducing the attack success rate (ASR). Specifically, we recorded a reduction in ASR ranging from 99.9% to 0% depending on the feature subset and the target IDS model. These findings highlight the impact of feature selection on disrupting attack transferability, and suggest that IDS models trained with appropriate feature subsets are more robust to adversarial transferability.}
}"
,NIDS-Vis: Improving the generalized adversarial robustness of network intrusion detection system,,2024,https://www.sciencedirect.com/science/article/pii/S016740482400333X,Elsevier,,,,,,,,"@article{HE2024104028,
title = {NIDS-Vis: Improving the generalized adversarial robustness of network intrusion detection system},
journal = {Computers & Security},
volume = {145},
pages = {104028},
year = {2024},
issn = {0167-4048},
doi = {https://doi.org/10.1016/j.cose.2024.104028},
url = {https://www.sciencedirect.com/science/article/pii/S016740482400333X},
author = {Ke He and Dan Dongseong Kim and Muhammad Rizwan Asghar},
keywords = {Adversarial robustness, Anomaly detection, Decision boundary visualization, Deep learning, Network intrusion detection},
abstract = {Network Intrusion Detection Systems (NIDSes) are crucial for securing various networks from malicious attacks. Recent developments in Deep Neural Networks (DNNs) have encouraged researchers to incorporate DNNs as the underlying detection engine for NIDS. However, DNNs are susceptible to adversarial attacks, where subtle modifications to input data result in misclassification, posing a significant threat to security-sensitive domains such as NIDS. Existing efforts in adversarial defenses predominantly focus on supervised classification tasks in Computer Vision, differing substantially from the unsupervised outlier detection tasks in NIDS. To bridge this gap, we introduce a novel method of generalized adversarial robustness and present NIDS-Vis, an innovative black-box algorithm that traverses the decision boundary of DNN-based NIDSes near given inputs. Through NIDS-Vis, we can visualize the geometry of the decision boundaries and examine their impact on performance and adversarial robustness. Our experiment uncovers a tradeoff between performance and robustness, and we propose two novel training techniques, feature space partition and distributional loss function, to enhance the generalized adversarial robustness of DNN-based NIDSes without significantly compromising performance.}
}"
,Towards Detection of Network Anomalies using Machine Learning Algorithms on the NSL-KDD Benchmark Datasets,,2024,https://www.sciencedirect.com/science/article/pii/S1877050924006458,Elsevier,,,,,,,,"@article{VIBHUTE2024960,
title = {Towards Detection of Network Anomalies using Machine Learning Algorithms on the NSL-KDD Benchmark Datasets},
journal = {Procedia Computer Science},
volume = {233},
pages = {960-969},
year = {2024},
note = {5th International Conference on Innovative Data Communication Technologies and Application (ICIDCA 2024)},
issn = {1877-0509},
doi = {https://doi.org/10.1016/j.procs.2024.03.285},
url = {https://www.sciencedirect.com/science/article/pii/S1877050924006458},
author = {Amol D. Vibhute and Chandrashekhar H. Patil and Arjun V. Mane and Karbhari V. Kale},
keywords = {Random forest model, Cyber-attacks, Network anomaly detection, AUC-ROC curves, One-hot encoding method, K-nearest neighbours},
abstract = {In the present era, everyone is connected via the Internet for sharing digital information. The digital data is stored using the cloud technology. However, cloud technology is speedily increasing the volume of digital information and network intrusions. In this case, safeguarding the cloud data is essential for several purposes. Therefore, the present study emphasizes developing the network intrusion detection system using the benchmark NSL-KDD datasets. The ensemble learning-enabled random forest algorithm was proposed and implemented to select the most suitable features. The network intrusion detection and classification have been done using three machine learning models: support vector machine (SVM), logistic regression, and K-nearest neighbour's (KNN) with 87.58, 88.86, and 98.24% validation accuracies. Thus, the present study approach can be used in real-time cyber-attack detection and monitoring.}
}"
,Robust Network Security: A Deep Learning Approach to Intrusion Detection in IoT,"Ammar Odeh, Anas Abu Taleb",2024,https://www.sciencedirect.com/org/science/article/pii/S1546221824008622,Elsevier,,,,,,,,"@article{ODEH20244149,
title = {Robust Network Security: A Deep Learning Approach to Intrusion Detection in IoT},
journal = {Computers, Materials and Continua},
volume = {81},
number = {3},
pages = {4149-4169},
year = {2024},
issn = {1546-2218},
doi = {https://doi.org/10.32604/cmc.2024.058052},
url = {https://www.sciencedirect.com/science/article/pii/S1546221824008622},
author = {Ammar Odeh and Anas Abu Taleb},
keywords = {Intrusion detection system (IDS), Internet of Things (IoT), convolutional neural network (CNN), long short-term memory (LSTM), autoencoder, network security, deep learning, data preprocessing, feature selection, cyber threats},
abstract = {The proliferation of Internet of Things (IoT) technology has exponentially increased the number of devices interconnected over networks, thereby escalating the potential vectors for cybersecurity threats. In response, this study rigorously applies and evaluates deep learning models—namely Convolutional Neural Networks (CNN), Autoencoders, and Long Short-Term Memory (LSTM) networks—to engineer an advanced Intrusion Detection System (IDS) specifically designed for IoT environments. Utilizing the comprehensive UNSW-NB15 dataset, which encompasses 49 distinct features representing varied network traffic characteristics, our methodology focused on meticulous data preprocessing including cleaning, normalization, and strategic feature selection to enhance model performance. A robust comparative analysis highlights the CNN model’s outstanding performance, achieving an accuracy of 99.89%, precision of 99.90%, recall of 99.88%, and an F1 score of 99.89% in binary classification tasks, outperforming other evaluated models significantly. These results not only confirm the superior detection capabilities of CNNs in distinguishing between benign and malicious network activities but also illustrate the model’s effectiveness in multiclass classification tasks, addressing various attack vectors prevalent in IoT setups. The empirical findings from this research demonstrate deep learning’s transformative potential in fortifying network security infrastructures against sophisticated cyber threats, providing a scalable, high-performance solution that enhances security measures across increasingly complex IoT ecosystems. This study’s outcomes are critical for security practitioners and researchers focusing on the next generation of cyber defense mechanisms, offering a data-driven foundation for future advancements in IoT security strategies.}
}"
,A sequential deep learning framework for a robust and resilient network intrusion detection system,,2024,https://www.sciencedirect.com/science/article/pii/S0167404824002311,Elsevier,,,,,,,,"@article{HORE2024103928,
title = {A sequential deep learning framework for a robust and resilient network intrusion detection system},
journal = {Computers & Security},
volume = {144},
pages = {103928},
year = {2024},
issn = {0167-4048},
doi = {https://doi.org/10.1016/j.cose.2024.103928},
url = {https://www.sciencedirect.com/science/article/pii/S0167404824002311},
author = {Soumyadeep Hore and Jalal Ghadermazi and Ankit Shah and Nathaniel D. Bastian},
keywords = {Network intrusion detection system (NIDS), Multistage AI-based NIDS, Malicious packet classifier, Anomaly detector, Novelty detector, Sequential deep neural networks, One-shot learning, Transfer learning},
abstract = {Ensuring the security and integrity of computer and network systems is of utmost importance in today’s digital landscape. Network intrusion detection systems (NIDS) play a critical role in continuously monitoring network traffic and identifying unauthorized or potentially malicious activities that could compromise the confidentiality, availability, and integrity of these systems. However, traditional NIDS face a daunting challenge in effectively adapting to the evolving tactics of cyber attackers. To address this challenge, we propose a multistage artificial intelligence enabled framework for intrusion detection in network traffic, capable of handling zero-day, out-of-distribution, and adversarial evasion attacks. Our framework comprises three sequential deep neural network (DNN) architectures: one for the classifier and two for specific autoencoders, designed to effectively detect both known attack patterns and novel, previously unseen samples. We introduce an innovative transfer learning technique where specific combinations of neurons and layers in the DNN architectures are frozen during one-shot learning to enhance the framework’s robustness to novel attacks. To validate the effectiveness of our framework, we conducted extensive experimentation using publicly available benchmark intrusion detection data sets. Leveraging the one-shot learning approach in the transfer learning component of the framework, we demonstrate continuous improvement in detection accuracy for both known and novel network traffic patterns. The results demonstrate the effectiveness of the multiple stages in the framework by achieving, on average, 98.5% accuracy in detecting various attacks.}
}"
,AI-enhanced resilience in power systems: Adversarial deep learning for robust short-term voltage stability assessment under cyber-attacks,,2025,https://www.sciencedirect.com/science/article/abs/pii/S0960077925004199,Elsevier,  ,,,,,,,"@article{LI2025116406,
title = {AI-enhanced resilience in power systems: Adversarial deep learning for robust short-term voltage stability assessment under cyber-attacks},
journal = {Chaos, Solitons & Fractals},
volume = {196},
pages = {116406},
year = {2025},
issn = {0960-0779},
doi = {https://doi.org/10.1016/j.chaos.2025.116406},
url = {https://www.sciencedirect.com/science/article/pii/S0960077925004199},
author = {Yang Li and Shitu Zhang and Yuanzheng Li},
keywords = {Power system, Short-term voltage stability, Adversarial deep learning, Graph Attention Network, AI-based cyber resilience, Smart grid cybersecurity, Resilient control strategy},
abstract = {In the era of Industry 4.0, ensuring the resilience of cyber-physical systems against sophisticated cyber threats is increasingly critical. This study proposes a pioneering AI-based control framework that enhances short-term voltage stability assessments (STVSA) in power systems under complex composite cyber-attacks. First, by incorporating white-box and black-box adversarial attacks with Denial-of-Service (DoS) perturbations during training, composite adversarial attacks are implemented. Second, the application of Spectral Normalized Conditional Wasserstein Generative Adversarial Network with Gradient Penalty (SNCWGAN-GP) and Fast Gradient Sign Method (FGSM) strengthens the model's resistance to adversarial disturbances, improving data quality and training stability. Third, an assessment model based on Long Short-Term Memory (LSTM)-enhanced Graph Attention Network (L-GAT) is developed to capture dynamic relationships between the post-fault dynamic trajectories and electrical grid topology. Experimental results on the IEEE 39-bus test system demonstrate the efficacy and superiority of the proposed method in composite cyber-attack scenarios. This contribution is pivotal to advancing AI-based resilient control strategies for nonlinear dynamical systems, marking a substantial enhancement in the security of cyber-physical systems.}
}"
,"A meta-survey of adversarial attacks against artificial intelligence algorithms, including diffusion models",,2025,https://www.sciencedirect.com/science/article/pii/S0925231225019034,Elsevier,,,,,,,,"@article{PAWLICKI2025131231,
title = {A meta-survey of adversarial attacks against artificial intelligence algorithms, including diffusion models},
journal = {Neurocomputing},
volume = {653},
pages = {131231},
year = {2025},
issn = {0925-2312},
doi = {https://doi.org/10.1016/j.neucom.2025.131231},
url = {https://www.sciencedirect.com/science/article/pii/S0925231225019034},
author = {Marek Pawlicki and Aleksandra Pawlicka and Rafał Kozik and Michał Choraś},
keywords = {Adversarial attacks, Artificial intelligence, Deep learning},
abstract = {Deep neural networks have revolutionized artificial intelligence, solving complex issues in areas like healthcare or law enforcement and security. However, they are susceptible to adversarial attacks where small data manipulations can compromise system reliability and security. This paper conducts an umbrella review of the literature on these attacks, synthesizing results from various systematic reviews to assess attack strategies, defense effectiveness, and research gaps. Guided by the PICO framework, this review categorizes and examines adversarial attacks, identifying key challenges in the field. The review finds that even though adversarial vulnerabilities were first explored in computer vision, analogous threats have expanded to domains like graph neural networks, natural language processing, federated learning, and text-to-image models. Despite varied attack surfaces, commonalities can be found.}
}"
,AI for cyber-security risk: harnessing AI for automatic generation of company-specific cybersecurity risk profiles,,2025,https://www.sciencedirect.com/org/science/article/abs/pii/S2056496125000066,Elsevier,,,,,,,,"@article{SCHREIBER2025520,
title = {AI for cyber-security risk: harnessing AI for automatic generation of company-specific cybersecurity risk profiles},
journal = {Information and Computer Security},
volume = {33},
number = {4},
pages = {520-546},
year = {2025},
issn = {2056-4961},
doi = {https://doi.org/10.1108/ICS-08-2024-0177},
url = {https://www.sciencedirect.com/science/article/pii/S2056496125000066},
author = {Amir Schreiber and Ilan Schreiber},
keywords = {Cybersecurity risks, AI, Gen-AI, Generative AI, AI risks},
abstract = {Purpose
In the modern digital realm, artificial intelligence (AI) technologies create unprecedented opportunities and enhance tactical security operations. This study aims to address the gap in using AI to strategically produce holistic cybersecurity risk profiles.
Design/methodology/approach
This paper uses a rigorous AI-powered method to conduct cybersecurity risk profiles tailored to individual enterprises, investigating sources of threat and guiding defense strategies. This paper built a real working demo application based on real security databases and used it to build company-specific cybersecurity risk profiles.
Findings
This paper demonstrated a robust, automated process for developing tailored cybersecurity risk profiles in three case studies across different industries. The AI application produced coherent outputs, validated by experts as accurate.
Research limitations/implications
This study lays the groundwork for further research, allowing for refinement by integrating additional resources, such as near-real-time alerts from external or internal sources.
Practical implications
The escalating threat landscape highlights the need for organizations to adopt AI for cybersecurity management, leveraging tools that assist in defining and refining cybersecurity risk profiles to enhance defense measures.
Social implications
Using AI-generated cybersecurity risk profiles supports efforts to create a safer digital environment for organizations, their employees and their customers, aligning with the growing reliance on AI in daily life.
Originality/value
Unlike most papers, this paper uses an AI application to address contemporary challenges in creating holistic, non-tactical profiles that can be refined and contextualized by the organizations while achieving automation in key processes and integrating multiple resources.}
}"
,Security risks and countermeasures of adversarial attacks on AI-driven applications in 6G networks: A survey,,2024,https://www.sciencedirect.com/science/article/abs/pii/S108480452400208X,Elsevier,,,Survey,,,,,"@article{HOANG2024104031,
title = {Security risks and countermeasures of adversarial attacks on AI-driven applications in 6G networks: A survey},
journal = {Journal of Network and Computer Applications},
volume = {232},
pages = {104031},
year = {2024},
issn = {1084-8045},
doi = {https://doi.org/10.1016/j.jnca.2024.104031},
url = {https://www.sciencedirect.com/science/article/pii/S108480452400208X},
author = {Van-Tam Hoang and Yared Abera Ergu and Van-Linh Nguyen and Rong-Guey Chang},
keywords = {6G networks, Adversarial attacks, Adversarial defenses, Deep neural network, AI-powered 6G applications, O-RAN vulnerabilities, Noise perturbation, Adversarial anomaly detection},
abstract = {The advent of sixth-generation (6G) networks is expected to start a new era in mobile networks, characterized by unprecedented high demands on dense connectivity, ultra-reliability, low latency, and high throughput. Artificial intelligence (AI) is at the forefront of this progress, optimizing and enabling intelligence for essential 6G functions such as radio resource allocation, slicing, service offloading, and mobility management. However, AI is subject to a wide range of security risks, most notably adversarial attacks. Recent studies, inspired by computer vision and natural language processing, show that adversarial attacks have significantly reduced performance and caused incorrect decisions in wireless communications, jeopardizing the perspective of transforming AI-based 6G core networks. This survey presents a thorough investigation into the landscape of adversarial attacks and defenses in the realm of AI-powered functions within classic wireless networks, open radio access networks (O-RAN), and 6G networks. Two key findings are as follows. First, by leveraging shared wireless networks, attackers can provide noise perturbation or signal sampling for interference, resulting in misclassification in AI-based channel estimation and signal classification. From these basic weaknesses, 6G introduces new threat vectors from AI-based core functionalities, such as malicious agents in federated learning-based service offloading and adversarial attacks on O-RAN near-real-time RIC (xApp). Second, adversarial training, trustworthy mmWave/Terahertz datasets, adversarial anomaly detection, and quantum technologies for adversarial defenses are the most promising strategies for mitigating the negative effects of the attacks. This survey also identifies possible future research topics for adversarial attacks and countermeasures in 6G AI-enabled technologies.}
}"
,The metaverse: Privacy and information security risks,,2025,https://www.sciencedirect.com/science/article/pii/S2667096825000552,Elsevier,,,,,,,,"@article{LAIZIBANEZ2025100373,
title = {The metaverse: Privacy and information security risks},
journal = {International Journal of Information Management Data Insights},
volume = {5},
number = {2},
pages = {100373},
year = {2025},
issn = {2667-0968},
doi = {https://doi.org/10.1016/j.jjimei.2025.100373},
url = {https://www.sciencedirect.com/science/article/pii/S2667096825000552},
author = {Héctor Laiz-Ibanez and Cristina Mendaña-Cuervo and Juan Luis {Carus Candas}},
keywords = {Metaverse, Security, Privacy, Risks, Countermeasures, Cybersecurity, Emerging technologies},
abstract = {The advent of the metaverse—a convergence of physical and virtual realities catalyzed by a spectrum of emerging technologies—heralds a new epoch in the digital era. As the metaverse unfolds its immense potential, it simultaneously reveals unprecedented privacy and information security risks. Understanding these risks is paramount, as the pose significant implications for user safety, data integrity, and the overall trustworthiness of the metaverse. Consequently, this paper conducts a Systematic Literature Review (SLR) to meticulously analyze these emerging risks. Utilizing the Population, Intervention, Comparison, Outcomes, Context (PICOC) method, the review examines 735 articles from four databases, distilling essential insights from 35 key studies. The review identifies major challenges, including vulnerabilities in AI and IoT integration, threats from surveillance capitalism, and insufficient user education on privacy risks. To address these issues, the study proposes strategies such as holistic security frameworks, privacy-first design principles, and multi-stakeholder collaboration. These findings provide actionable insights for navigating the intricate dynamics of the metaverse, fostering a secure and privacy-conscious digital ecosystem. The study’s contributions aim to guide academic discourse, inform industry practices, and influence future policy development. The contributions from this research are intended to stimulate further academic discourse and influence future practices and policy in the context of the metaverse.}
}"
,,,,,,,,,,,,,
,Polymorphic Adversarial DDoS attack on IDS using GAN,Ravi Chauhan; Shahram Shah Heydari,2020,https://ieeexplore.ieee.org/document/9297264,IEEE,,,Confrence,,,,,"@INPROCEEDINGS{9297264,
  author={Chauhan, Ravi and Shah Heydari, Shahram},
  booktitle={2020 International Symposium on Networks, Computers and Communications (ISNCC)}, 
  title={Polymorphic Adversarial DDoS attack on IDS using GAN}, 
  year={2020},
  volume={},
  number={},
  pages={1-6},
  keywords={Generators;Generative adversarial networks;Data models;Feature extraction;Training;Malware;Intrusion detection;Adversarial Attacks;Generative Adversarial Networks (GAN);IDS;DDoS attacks;Machine Learning},
  doi={10.1109/ISNCC49221.2020.9297264}}
"
,Multi-Layer Defense for AI-powered IDS: Ensemble Adversarial Training and Explainable Resilience to Evasion Attacks,Hanh P. Du; Minh Q. Tran; Tuyen T. Nguyen; Hoa N. Nguyen,2025,https://ieeexplore.ieee.org/document/11250565,IEEE,,,Confrence,,,,,"@INPROCEEDINGS{11250565,
  author={Du, Hanh P. and Tran, Minh Q. and Nguyen, Tuyen T. and Nguyen, Hoa N.},
  booktitle={2025 2nd International Conference On Cryptography And Information Security (VCRIS)}, 
  title={Multi-Layer Defense for AI-powered IDS: Ensemble Adversarial Training and Explainable Resilience to Evasion Attacks}, 
  year={2025},
  volume={},
  number={},
  pages={1-6},
  keywords={Training;Accuracy;Intrusion detection;Predictive models;NSL-KDD;Feature extraction;Robustness;Cryptography;Faces;Resilience;Adversarial Attacks;Adversarial Defense;Intrusion Detection;Feature Squeezing;Adversarial Transferability},
  doi={10.1109/VCRIS68011.2025.11250565}}"
,Robust Image Classification: Defensive Strategies against FGSM and PGD Adversarial Attacks,Hetvi Waghela; Jaydip Sen; Sneha Rakshit,2025,https://ieeexplore.ieee.org/document/10941671,IEEE,,,confrence,,,,,"@INPROCEEDINGS{10941671,
  author={Waghela, Hetvi and Sen, Jaydip and Rakshit, Sneha},
  booktitle={2024 Asian Conference on Intelligent Technologies (ACOIT)}, 
  title={Robust Image Classification: Defensive Strategies against FGSM and PGD Adversarial Attacks}, 
  year={2024},
  volume={},
  number={},
  pages={1-7},
  keywords={Training;Perturbation methods;Autoencoders;Neural networks;Computer architecture;Reliability theory;Robustness;Security;Image classification;Resilience;VGG16;Adversarial Attacks;Image Classification;FGSM;PGD;Adversarial Defense;Neural Networks;Machine Learning Security},
  doi={10.1109/ACOIT62457.2024.10941671}}
"
,Securing IoT Networks with Adversarial Learning: A Defense Framework Against Cyber Threats,Abdellah Zyane; Hamza Jamiri,2025,https://ieeexplore.ieee.org/document/11008253,IEEE,,,Confrence,,,,,"@INPROCEEDINGS{11008253,
  author={Zyane, Abdellah and Jamiri, Hamza},
  booktitle={2025 5th International Conference on Innovative Research in Applied Science, Engineering and Technology (IRASET)}, 
  title={Securing IoT Networks with Adversarial Learning: A Defense Framework Against Cyber Threats}, 
  year={2025},
  volume={},
  number={},
  pages={1-7},
  keywords={Training;Support vector machines;Deep learning;Intrusion detection;Feature extraction;Robustness;Adversarial machine learning;Decision trees;Computer security;Resilience;Adversarial Attacks;Machine Learning;Deep Learning;IoT Security;Fast Gradient Sign Method (FGSM);Projected Gradient Descent (PGD);Adversarial Training;Feature Squeezing;Intrusion Detection;Cybersecurity in IoT},
  doi={10.1109/IRASET64571.2025.11008253}}"
,Optimizing Cloud Security with Machine Learning: Predicting and Preventing Vulnerabilities in Distributed Systems,Hari Gupta; Aneeshkumar P Sundareswaran; Riya Walia; Sanghamithra Duggirala; Sekar Mylsamy; Abhishek Jain,2025,https://ieeexplore.ieee.org/document/11102411,IEEE,,,Confrence,,,,,"@INPROCEEDINGS{11102411,
  author={Gupta, Hari and Sundareswaran, Aneeshkumar P and Walia, Riya and Duggirala, Sanghamithra and Mylsamy, Sekar and Jain, Abhishek},
  booktitle={2025 International Conference on Networks and Cryptology (NETCRYPT)}, 
  title={Optimizing Cloud Security with Machine Learning: Predicting and Preventing Vulnerabilities in Distributed Systems}, 
  year={2025},
  volume={},
  number={},
  pages={1598-1602},
  keywords={Support vector machines;Accuracy;Machine learning algorithms;Cloud computing security;Heuristic algorithms;Reinforcement learning;Nearest neighbor methods;Prediction algorithms;Security;Random forests;Cloud security;machine learning;distributed systems;vulnerability detection;anomaly detection;reinforcement learning;threat intelligence;predictive analytics},
  doi={10.1109/NETCRYPT65877.2025.11102411}}"
,Supervised Machine Learning for Cloud Security,Saurabh Singhal; Rishabh Srivastava; R Shyam; Deepak Mangal,2023,https://ieeexplore.ieee.org/document/10112078,IEEE,,,Confrence,,,,,"@INPROCEEDINGS{10112078,
  author={Singhal, Saurabh and Srivastava, Rishabh and Shyam, R and Mangal, Deepak},
  booktitle={2023 6th International Conference on Information Systems and Computer Networks (ISCON)}, 
  title={Supervised Machine Learning for Cloud Security}, 
  year={2023},
  volume={},
  number={},
  pages={1-5},
  keywords={Training;Service function chaining;Computational modeling;Cloud computing security;Machine learning;Data models;Network function virtualization;Cloud Security;Machine Learning;Supervised Learning;UNSW dataset;ISOT dataset},
  doi={10.1109/ISCON57294.2023.10112078}}"
,Adversarial Machine Learning for Network Intrusion Detection Systems: A Comprehensive Survey,Ke He; Dan Dongseong Kim; Muhammad Rizwan Asghar,2023,https://ieeexplore.ieee.org/abstract/document/10005100,IEEE,,,,,,,,"@ARTICLE{10005100,
  author={He, Ke and Kim, Dan Dongseong and Asghar, Muhammad Rizwan},
  journal={IEEE Communications Surveys & Tutorials}, 
  title={Adversarial Machine Learning for Network Intrusion Detection Systems: A Comprehensive Survey}, 
  year={2023},
  volume={25},
  number={1},
  pages={538-566},
  keywords={Feature extraction;Adversarial machine learning;Taxonomy;Task analysis;Monitoring;Internet of Things;Deep learning;NIDS;adversarial attacks;deep learning;cybersecurity},
  doi={10.1109/COMST.2022.3233793}}
"
,,,,,,,,,,,,,
,https://github.com/Huzi1080/CSM-Research-Paper/blob/main/README.md,,,,,,,,,,,,
,,,,,,,,,,,,,
,https://carleton.ca/ngn/wp-content/uploads/The-Threat-of-Adversarial-Attacks-on-Machine-Learning-in-Network-Security-A-Survey.pdf,,,,,,,,,,,,
